EPISODES,DQN_runs,DQN_correct,PPO_runs,PPO_correct
1,4,0,4,0
2,18,8,18,11
3,12,6,12,3
4,18,9,17,10
5,12,5,12,4
6,15,6,15,9
7,15,7,15,4
8,18,8,17,10
9,17,7,17,5
10,15,8,13,8
11,12,6,12,3
12,14,8,14,4
13,18,9,18,10
14,18,9,18,10
15,12,8,9,6
16,21,9,21,13
17,15,6,15,8
18,17,10,17,9
19,21,13,20,10
20,18,4,18,9
21,21,7,21,8
22,14,7,14,5
23,18,8,17,12
24,17,11,18,8
25,16,10,17,11
26,18,6,18,10
27,15,6,15,8
28,13,4,14,9
29,17,8,18,10
30,21,8,21,11
31,18,8,18,11
32,12,5,10,5
33,18,10,18,10
34,18,7,18,8
35,18,11,18,9
36,21,12,21,13
37,18,10,18,12
38,21,4,21,7
39,17,6,17,10
40,15,5,14,7
41,12,7,12,5
42,15,6,15,10
43,18,11,18,10
44,20,7,21,13
45,18,7,18,11
46,15,2,14,5
47,21,12,21,10
48,24,14,23,10
49,15,8,14,10
50,18,7,17,9
51,15,3,15,8
52,13,7,15,9
53,15,5,14,5
54,12,5,12,4
55,18,5,18,9
56,20,9,20,11
57,24,13,24,9
58,21,7,21,12
59,12,8,12,9
60,15,7,15,9
61,15,8,14,9
62,18,13,17,4
63,21,7,20,11
64,15,8,15,7
65,21,12,20,10
66,18,10,18,8
67,13,7,14,9
68,21,14,20,10
69,21,12,21,9
70,21,12,21,10
71,24,13,24,9
72,24,13,24,15
73,18,7,18,10
74,15,9,15,7
75,15,4,15,9
76,18,11,18,13
77,18,10,18,7
78,12,7,12,8
79,11,6,12,5
80,17,8,18,9
81,15,7,15,6
82,20,9,21,10
83,11,2,11,4
84,14,6,14,6
85,21,7,21,11
86,21,7,19,10
87,18,10,18,11
88,21,9,21,9
89,21,14,21,11
90,18,9,16,9
91,17,9,17,8
92,20,7,21,9
93,24,6,23,16
94,13,8,15,8
95,18,11,17,9
96,15,8,15,10
97,17,6,18,9
98,12,6,12,3
99,17,10,16,7
100,18,11,18,9
101,12,8,12,8
102,17,7,16,6
103,12,4,12,6
104,17,8,18,9
105,15,5,15,8
106,18,6,18,8
